Date,Starting Balance ($),Ending Balance ($),Daily PnL ($),Daily Profit/Loss (%),Total Trades,Wins,Losses,Win Rate (%),Status
2026-08-15,"$5,000.00","$5,000.00",+$0.00,+0.00%,0,0,0,0.0%,PROFIT 🟢
2026-TEST-1786823696,"$5,000.00","$5,000.00",+$0.00,+0.00%,0,0,0,0.0%,PROFIT 🟢
2026-TEST-LOSS-1786823698,"$5,000.00","$5,000.00",+$0.00,+0.00%,0,0,0,0.0%,PROFIT 🟢
2026-08-15,"$5,000.00","$5,000.00",+$0.00,+0.00%,0,0,0,0.0%,PROFIT 🟢
2026-TEST-1786823765,"$5,000.00","$5,000.00",+$0.00,+0.00%,0,0,0,0.0%,PROFIT 🟢
2026-TEST-LOSS-1786823766,"$5,000.00","$5,000.00",+$0.00,+0.00%,0,0,0,0.0%,PROFIT 🟢
2026-TEST-1786823836,"$5,000.00","$5,000.00",+$0.00,+0.00%,0,0,0,0.0%,PROFIT 🟢
2026-TEST-LOSS-1786823837,"$5,000.00","$5,000.00",+$0.00,+0.00%,0,0,0,0.0%,PROFIT 🟢
2026-08-15,"$5,000.00","$5,000.00",+$0.00,+0.00%,0,0,0,0.0%,PROFIT 🟢
2026-TEST-1786824442,"$5,000.00","$5,000.00",+$0.00,+0.00%,0,0,0,0.0%,PROFIT 🟢
2026-TEST-LOSS-1786824443,"$5,000.00","$5,000.00",+$0.00,+0.00%,0,0,0,0.0%,PROFIT 🟢
2026-08-15,"$5,000.00","$5,000.00",+$0.00,+0.00%,0,0,0,0.0%,PROFIT 🟢
2026-08-16,"$5,000.00","$4,975.04",$-24.96,-0.50%,1,0,1,0.0%,LOSS 🔴
2026-08-16,"$5,000.00","$4,950.08",$-49.92,-1.00%,2,0,2,0.0%,LOSS 🔴
2026-08-16,"$5,000.00","$5,023.03",+$23.03,+0.46%,3,1,2,33.3%,PROFIT 🟢
2026-08-16,"$5,000.00","$5,098.38",+$98.38,+1.97%,4,2,2,50.0%,PROFIT 🟢
2026-08-16,"$5,000.00","$5,098.38",+$98.38,+1.97%,4,2,2,50.0%,PROFIT 🟢
