Trade ID,Date / Time (UTC),Symbol,Direction,Entry Price ($),Exit Price ($),Exit Reason,PnL ($),PnL (%),Outcome,ML Win Prob (%),Confluence Score,Breakeven Saved,Account Balance ($)
TEST-001-WIN,2026-08-16 00:45:00,BTC/USDT,LONG,"$58,200.00","$59,900.00",TAKE_PROFIT,+$85.50,+14.65%,WIN ✅,82.0%,185,NO,"$5,085.50"
TEST-001-WIN,2026-08-16 00:45:00,BTC/USDT,LONG,"$58,200.00","$59,900.00",TAKE_PROFIT,+$85.50,+14.65%,WIN ✅,82.0%,185,NO,"$5,085.50"
TRD-5E29867B,2026-08-16T18:35:59.633895,BTC/USDT,LONG,"$63,141.10","$63,070.58",STOP_LOSS,$-24.96,-0.56%,LOSS ❌,75.9%,170,NO,-
TRD-602ACDC4,2026-08-16T18:19:03.739890,ETH/USDT,LONG,"$1,884.13","$1,881.08",STOP_LOSS,$-24.96,-0.81%,LOSS ❌,73.4%,170,NO,-
TRD-97763512,2026-08-16T20:30:35.602695,SOL/USDT,SHORT,$75.21,$74.83,TAKE_PROFIT,+$72.94,+2.53%,WIN ✅,74.4%,170,NO,-
TRD-3B9537C4,2026-08-16T18:15:29.160700,BNB/USDT,SHORT,$606.68,$604.63,TAKE_PROFIT,+$75.36,+1.69%,WIN ✅,72.4%,170,NO,-
TRD-8F1FC61A,2026-08-17T00:15:52.191665,SOL/USDT,SHORT,$74.55,$74.77,STOP_LOSS,$-24.95,-1.48%,LOSS ❌,73.2%,170,NO,-
TRD-A94B6786,2026-08-17T00:09:10.471811,ETH/USDT,SHORT,"$1,874.24","$1,879.46",STOP_LOSS,$-24.96,-1.39%,LOSS ❌,72.1%,170,NO,-
TRD-65C4BD83,2026-08-17T00:00:44.146982,BNB/USDT,SHORT,$603.15,$604.39,STOP_LOSS,$-24.96,-1.03%,LOSS ❌,73.2%,170,NO,-
TRD-3878958B,2026-08-22T18:48:30.626707,BNB/USDT,LONG,$697.92,$694.51,STOP_LOSS,$-0.07,-2.44%,LOSS ❌,72.5%,170,NO,-
TRD-F39D95FE,2026-08-22T17:24:18.350339,SOL/USDT,LONG,$94.21,$96.21,TAKE_PROFIT,+$0.20,+10.61%,WIN ✅,50.0%,170,NO,-
TRD-EB31BF58,2026-08-22T21:46:56.566661,ETH/USDT,SHORT,"$2,410.18","$2,423.31",STOP_LOSS,$-0.14,-2.72%,LOSS ❌,70.3%,170,NO,-
TRD-B884755A,2026-08-22T23:15:23.292023,DOGE/USDT,SHORT,$0.09,$0.09,STOP_LOSS,+$0.10,+9.43%,WIN ✅,67.8%,170,NO,-
TRD-AAAB3A5E,2026-08-22T22:28:06.326678,ETH/USDT,SHORT,"$2,423.73","$2,422.52",STOP_LOSS,+$0.01,+0.25%,WIN ✅,75.4%,170,NO,-
TRD-113D17EE,2026-08-22T23:15:21.202627,XRP/USDT,SHORT,$1.46,$1.48,STOP_LOSS,$-0.10,-6.88%,LOSS ❌,72.3%,170,NO,-
TRD-1FD7A46C,2026-08-22T23:15:26.158317,LINK/USDT,SHORT,$11.59,$11.69,STOP_LOSS,$-0.14,-4.44%,LOSS ❌,58.9%,170,NO,-
TRD-38C0935B,2026-08-22T21:46:58.064548,BNB/USDT,SHORT,$693.92,$697.62,STOP_LOSS,$-0.15,-2.67%,LOSS ❌,75.0%,170,NO,-
TRD-00C00F26,2026-08-22T23:16:05.169421,SOL/USDT,SHORT,$93.70,$94.47,STOP_LOSS,$-0.14,-4.11%,LOSS ❌,58.8%,170,NO,-
TRD-A23A314F,2026-08-22T23:15:24.698819,AVAX/USDT,SHORT,$7.47,$7.55,STOP_LOSS,$-0.14,-5.08%,LOSS ❌,58.4%,170,NO,-
TRD-D8DC7064,2026-08-23T00:19:45.715462,XRP/USDT,LONG,$1.48,$1.49,STOP_LOSS,+$0.06,+3.14%,WIN ✅,74.2%,170,NO,-
TRD-80DAF6BA,2026-08-22T23:16:07.815406,DOGE/USDT,LONG,$0.09,$0.09,STOP_LOSS,+$0.08,+7.85%,WIN ✅,61.6%,170,NO,-
TRD-B6516480,2026-08-23T00:18:16.907921,SUI/USDT,SHORT,$0.81,$0.81,STOP_LOSS,+$0.04,+2.64%,WIN ✅,74.5%,170,NO,-
TRD-7E3CE447,2026-08-22T23:15:29.051570,NEAR/USDT,SHORT,$1.90,$1.87,STOP_LOSS,+$0.07,+6.33%,WIN ✅,59.0%,170,NO,-
TRD-C857AACF,2026-08-22T23:15:27.626813,ADA/USDT,SHORT,$0.23,$0.22,STOP_LOSS,+$0.11,+6.63%,WIN ✅,62.2%,170,NO,-
TRD-7EED5FDE,2026-08-22T23:49:35.375120,ETH/USDT,SHORT,"$2,422.78","$2,421.08",STOP_LOSS,+$0.02,+0.35%,WIN ✅,74.7%,170,NO,-
TRD-57AED918,2026-08-23T07:05:11.870041,ETH/USDT,SHORT,"$2,389.24","$2,410.21",STOP_LOSS,$-0.13,-4.39%,LOSS ❌,60.7%,170,NO,-
TRD-5A5C64C9,2026-08-23T07:01:43.255799,BNB/USDT,SHORT,$685.10,$689.74,STOP_LOSS,$-0.14,-3.39%,LOSS ❌,60.1%,170,NO,-
TRD-AE23113D,2026-08-23T07:17:42.216273,XRP/USDT,LONG,$1.47,$1.51,TAKE_PROFIT,+$0.16,+12.39%,WIN ✅,64.9%,170,NO,-
TRD-89D6A6E3,2026-08-23T16:28:00.625600,APT/USDT,LONG,$0.65,$0.69,TAKE_PROFIT,+$45.02,+32.47%,WIN ✅,70.9%,170,NO,-
TRD-DA67F866,2026-08-23T15:29:29.160044,DOGE/USDT,LONG,$0.09,$0.10,TAKE_PROFIT,+$44.78,+15.32%,WIN ✅,74.3%,170,NO,-
TRD-1368E783,2026-08-23T15:27:19.514843,XRP/USDT,LONG,$1.51,$1.58,TAKE_PROFIT,+$45.04,+24.61%,WIN ✅,77.2%,170,NO,-
TRD-A399A46F,2026-08-23T15:27:02.727372,OP/USDT,LONG,$0.11,$0.12,TAKE_PROFIT,+$44.10,+11.22%,WIN ✅,79.5%,170,NO,-
TRD-6745255F,2026-08-23T17:37:16.581666,TIA/USDT,LONG,$0.39,$0.39,TAKE_PROFIT,+$44.79,+11.13%,WIN ✅,70.2%,170,NO,-
TRD-475DBB52,2026-08-23T17:36:14.894577,DOGE/USDT,LONG,$0.09,$0.10,TAKE_PROFIT,+$43.58,+16.22%,WIN ✅,72.4%,170,NO,-
TRD-79870911,2026-08-23T17:35:00.106129,NEAR/USDT,LONG,$1.97,$2.06,TAKE_PROFIT,+$45.02,+22.80%,WIN ✅,73.1%,170,NO,-
TRD-0F4B4FE9,2026-08-23T17:33:50.013791,XRP/USDT,LONG,$1.51,$1.58,TAKE_PROFIT,+$45.01,+25.04%,WIN ✅,74.9%,170,NO,-
TRD-982B6C7A,2026-08-23T18:11:04.580919,SUI/USDT,LONG,$0.83,$0.83,STOP_LOSS,+$0.06,+3.45%,WIN ✅,60.6%,170,NO,-
TRD-E6038660,2026-08-23T18:18:31.861474,SUI/USDT,SHORT,$0.83,$0.84,STOP_LOSS,$-0.13,-7.89%,LOSS ❌,56.1%,170,NO,-
TRD-1888C116,2026-08-23T18:59:19.996373,SUI/USDT,SHORT,$0.85,$0.83,TAKE_PROFIT,+$0.16,+8.86%,WIN ✅,67.7%,170,NO,-
TRD-AE1236B3,2026-08-23T18:15:58.995456,SEI/USDT,SHORT,$0.05,$0.05,STOP_LOSS,+$0.02,+0.93%,WIN ✅,63.7%,170,NO,-
TRD-E59EC3AE,2026-08-23T19:33:26.406186,SUI/USDT,LONG,$0.83,$0.84,STOP_LOSS,+$0.08,+4.63%,WIN ✅,58.4%,170,NO,-
TRD-990EC976,2026-08-23T18:10:03.118286,TIA/USDT,LONG,$0.38,$0.38,STOP_LOSS,$-0.13,-7.55%,LOSS ❌,61.6%,170,NO,-
TRD-2569242C,2026-08-23T19:45:54.062511,SUI/USDT,SHORT,$0.84,$0.83,STOP_LOSS,+$0.06,+3.58%,WIN ✅,65.8%,170,NO,-
TRD-914C513A,2026-08-23T18:31:12.748805,INJ/USDT,SHORT,$5.33,$5.29,STOP_LOSS,+$0.06,+4.31%,WIN ✅,72.5%,170,NO,-
TRD-E38FE1E3,2026-08-23T18:45:33.948749,LINK/USDT,SHORT,$11.56,$11.50,STOP_LOSS,+$0.06,+2.64%,WIN ✅,58.2%,170,NO,-
TRD-2D6B1897,2026-08-23T20:21:22.267592,NEAR/USDT,LONG,$1.98,$1.99,STOP_LOSS,+$0.03,+1.77%,WIN ✅,59.6%,170,NO,-
TRD-BF4296EE,2026-08-23T20:50:07.814488,NEAR/USDT,SHORT,$1.98,$2.01,STOP_LOSS,$-0.13,-6.56%,LOSS ❌,69.5%,170,NO,-
TRD-7CE7F7CF,2026-08-23T20:08:20.603350,INJ/USDT,LONG,$5.29,$5.35,STOP_LOSS,+$0.09,+5.96%,WIN ✅,79.7%,170,NO,-
TRD-7F5F6610,2026-08-23T18:10:08.276805,FET/USDT,LONG,$0.17,$0.17,STOP_LOSS,+$0.07,+4.20%,WIN ✅,69.0%,170,NO,-
TRD-9752E4B4,2026-08-23T18:09:54.479389,ADA/USDT,LONG,$0.22,$0.23,STOP_LOSS,+$0.06,+5.11%,WIN ✅,61.1%,170,NO,-
TRD-299B345A,2026-08-23T21:01:40.136892,NEAR/USDT,SHORT,$2.01,$2.04,STOP_LOSS,$-0.13,-6.71%,LOSS ❌,65.1%,170,NO,-
TRD-3560E4CE,2026-08-23T20:05:55.418391,SUI/USDT,LONG,$0.83,$0.84,STOP_LOSS,+$0.10,+6.30%,WIN ✅,67.1%,170,NO,-
TRD-D8156692,2026-08-23T20:15:14.963829,TIA/USDT,LONG,$0.38,$0.38,STOP_LOSS,+$0.06,+5.42%,WIN ✅,54.7%,170,NO,-
TRD-DEA5E390,2026-08-23T21:45:41.070361,NEAR/USDT,SHORT,$2.04,$2.00,TAKE_PROFIT,+$0.16,+8.39%,WIN ✅,55.1%,170,NO,-
TRD-4CB6673D,2026-08-23T18:45:38.435663,RENDER/USDT,LONG,$1.52,$1.53,STOP_LOSS,+$0.09,+4.29%,WIN ✅,57.9%,170,NO,-
TRD-E3DCA2DE,2026-08-23T18:05:05.416674,XRP/USDT,LONG,$1.51,$1.52,STOP_LOSS,+$0.08,+4.61%,WIN ✅,73.1%,170,NO,-
TRD-53A91FD9,2026-08-23T21:00:35.595684,SEI/USDT,LONG,$0.05,$0.05,STOP_LOSS,+$0.08,+6.47%,WIN ✅,60.4%,170,NO,-
TRD-7DC05F61,2026-08-23T17:38:54.808896,1000PEPE/USDT,LONG,$0.00,$0.00,STOP_LOSS,+$0.08,+7.60%,WIN ✅,72.6%,170,NO,-
TRD-170A5E2D,2026-08-23T18:09:50.280976,BNB/USDT,LONG,$698.45,$702.66,STOP_LOSS,+$0.04,+3.01%,WIN ✅,61.6%,170,NO,-
TRD-DA9383FA,2026-08-23T21:43:58.061499,ADA/USDT,SHORT,$0.23,$0.23,STOP_LOSS,+$0.03,+1.54%,WIN ✅,57.2%,170,NO,-
TRD-1B7A509A,2026-08-23T21:52:21.785123,INJ/USDT,LONG,$5.38,$5.40,STOP_LOSS,+$0.05,+2.51%,WIN ✅,63.3%,170,NO,-
TRD-E76B2E3F,2026-08-23T22:00:59.608968,NEAR/USDT,LONG,$2.01,$2.02,STOP_LOSS,+$0.05,+2.98%,WIN ✅,66.4%,170,NO,-
TRD-99EBC4A7,2026-08-23T21:58:58.693895,SEI/USDT,SHORT,$0.05,$0.05,STOP_LOSS,+$0.05,+2.16%,WIN ✅,67.5%,170,NO,-
TRD-5C655AC8,2026-08-23T22:49:31.469705,SUI/USDT,LONG,$0.85,$0.85,STOP_LOSS,+$0.05,+3.01%,WIN ✅,71.7%,170,NO,-
TRD-F4F4870E,2026-08-23T20:33:51.657594,OP/USDT,LONG,$0.11,$0.11,STOP_LOSS,$-0.13,-5.91%,LOSS ❌,71.2%,170,NO,-
TRD-531A752C,2026-08-23T22:51:49.228434,INJ/USDT,SHORT,$5.40,$5.37,STOP_LOSS,+$0.05,+2.59%,WIN ✅,70.5%,170,NO,-
TRD-42270239,2026-08-23T23:44:56.345111,OP/USDT,LONG,$0.11,$0.11,TAKE_PROFIT,+$0.17,+7.89%,WIN ✅,69.4%,170,NO,-
TRD-D2946EBD,2026-08-23T21:59:26.445156,RENDER/USDT,SHORT,$1.53,$1.52,STOP_LOSS,+$0.05,+2.29%,WIN ✅,60.2%,170,NO,-
TRD-1C1E68FF,2026-08-24T00:06:01.313852,BTC/USDT,LONG,"$63,439.16","$65,612.74",TAKE_PROFIT,+$2.17,+17.13%,WIN ✅,81.4%,170,NO,-
TRD-9AD5945E,2026-08-23T23:34:06.186252,SUI/USDT,SHORT,$0.85,$0.84,STOP_LOSS,+$0.08,+4.87%,WIN ✅,62.2%,170,NO,-
TRD-F99B503E,2026-08-23T23:31:27.944279,SEI/USDT,LONG,$0.05,$0.05,TAKE_PROFIT,+$0.17,+10.86%,WIN ✅,59.6%,170,NO,-
TRD-89F7DBBA,2026-08-24T00:09:31.255296,LINK/USDT,SHORT,$11.49,$11.80,STOP_LOSS,$-0.14,-13.22%,LOSS ❌,59.3%,170,NO,-
TRD-3AA32C6B,2026-08-24T00:06:51.711621,AVAX/USDT,SHORT,$7.55,$7.72,STOP_LOSS,$-0.14,-11.26%,LOSS ❌,63.4%,170,NO,-
TRD-62A63DF3,2026-08-23T21:45:19.261328,FET/USDT,LONG,$0.17,$0.16,STOP_LOSS,$-0.14,-13.71%,LOSS ❌,67.2%,170,NO,-
TRD-BD6EB5FA,2026-08-24T00:46:15.702801,ADA/USDT,LONG,$0.22,$0.23,TAKE_PROFIT,+$0.21,+10.80%,WIN ✅,58.0%,170,NO,-
TRD-65E5F00D,2026-08-24T00:49:04.514519,SUI/USDT,LONG,$0.84,$0.84,STOP_LOSS,+$0.05,+3.29%,WIN ✅,66.6%,170,NO,-
TRD-08E04975,2026-08-24T00:44:18.914213,1000PEPE/USDT,LONG,$0.00,$0.00,STOP_LOSS,+$0.01,+0.51%,WIN ✅,73.1%,170,NO,-
